itemid,label,category,fluid
52029,% Ionized Calcium,Blood Gas,Blood
52021,Abz,Blood Gas,Blood
52022,"Albumin, Blood",Blood Gas,Blood
50801,Alveolar-arterial Gradient,Blood Gas,Blood
52023,Assist/Control,Blood Gas,Blood
50802,Base Excess,Blood Gas,Blood
50803,"Calculated Bicarbonate, Whole Blood",Blood Gas,Blood
50804,Calculated Total CO2,Blood Gas,Blood
50805,Carboxyhemoglobin,Blood Gas,Blood
50806,"Chloride, Whole Blood",Blood Gas,Blood
52434,"Chloride, Whole Blood",Blood Gas,Blood
52024,"Creatinine, Whole Blood",Blood Gas,Blood
52025,Delete,Blood Gas,Blood
53180,Estimated GFR (CKD- EPI 2021),Blood Gas,Blood
52026,Estimated GFR (MDRD equation),Blood Gas,Blood
50808,Free Calcium,Blood Gas,Blood
50809,Glucose,Blood Gas,Blood
52027,"Glucose, Whole Blood",Blood Gas,Blood
52028,Hematocrit,Blood Gas,Blood
50810,"Hematocrit, Calculated",Blood Gas,Blood
50811,Hemoglobin,Blood Gas,Blood
50812,Intubated,Blood Gas,Blood
50813,Lactate,Blood Gas,Blood
52442,Lactate,Blood Gas,Blood
52030,Lithium,Blood Gas,Blood
50814,Methemoglobin,Blood Gas,Blood
50815,O2 Flow,Blood Gas,Blood
52031,Osmolality,Blood Gas,Blood
50816,Oxygen,Blood Gas,Blood
50817,Oxygen Saturation,Blood Gas,Blood
52032,P50 of Hemoglobin,Blood Gas,Blood
50819,PEEP,Blood Gas,Blood
50822,"Potassium, Whole Blood",Blood Gas,Blood
52452,"Potassium, Whole Blood",Blood Gas,Blood
50823,Required O2,Blood Gas,Blood
50824,"Sodium, Whole Blood",Blood Gas,Blood
52455,"Sodium, Whole Blood",Blood Gas,Blood
52033,Specimen Type,Blood Gas,Blood
50825,Temperature,Blood Gas,Blood
50826,Tidal Volume,Blood Gas,Blood
52034,Total Calcium,Blood Gas,Blood
52035,Total Calcium,Blood Gas,Blood
50827,Ventilation Rate,Blood Gas,Blood
50828,Ventilator,Blood Gas,Blood
52036,Voided Specimen,Blood Gas,Blood
52037,WB tCO2,Blood Gas,Blood
50818,pCO2,Blood Gas,Blood
50820,pH,Blood Gas,Blood
50821,pO2,Blood Gas,Blood
51771,,Chemistry,Blood
50852,% Hemoglobin A1c,Chemistry,Blood
53138,(Albumin),Chemistry,Blood
53128,11-Deoxycorticosterone,Chemistry,Blood
50853,25-OH Vitamin D,Chemistry,Blood
53129,3t,Chemistry,Blood
53130,4t,Chemistry,Blood
53131,5' Nucleotidase,Chemistry,Blood
