cui1,rel,cui2,rela,sab
C0000294,RO,A0051521,has_contraindicated_drug,MED-RT
C0000294,RO,A30275371,therapeutic_class_of,MED-RT
C0000378,RO,A28936841,therapeutic_class_of,MED-RT
C0000378,RO,A0051521,has_contraindicated_drug,MED-RT
C0000392,RO,A0051521,has_contraindicated_drug,MED-RT
C0000392,RO,A30275370,therapeutic_class_of,MED-RT
C0000473,RO,A31715734,contraindicated_class_of,MED-RT
C0000473,RO,A31646173,contraindicated_class_of,MED-RT
C0000473,RO,A31680777,contraindicated_class_of,MED-RT
C0000473,RO,A16793083,contraindicated_class_of,MED-RT
C0000473,RO,A0051521,has_contraindicated_drug,MED-RT
C0000473,RO,A30275428,therapeutic_class_of,MED-RT
C0000477,RO,A28936841,therapeutic_class_of,MED-RT
C0000477,RO,A0051521,has_contraindicated_drug,MED-RT
C0000477,RO,A0115076,has_contraindicated_drug,MED-RT
C0000477,RO,A8395893,has_contraindicated_drug,MED-RT
C0000503,RO,A0021327,has_contraindicated_class,MED-RT
C0000503,RO,A0029159,has_contraindicated_class,MED-RT
C0000503,RO,A28936841,therapeutic_class_of,MED-RT
C0000503,RO,A18452129,has_contraindicated_drug,MED-RT
C0000598,RO,A0031546,has_contraindicated_drug,MED-RT
C0000598,RO,A0051521,has_contraindicated_drug,MED-RT
C0000598,RO,A0067245,has_contraindicated_drug,MED-RT
C0000598,RO,A0080699,has_contraindicated_drug,MED-RT
C0000598,RO,A30275399,therapeutic_class_of,MED-RT
C0000608,RO,A0050422,has_contraindicated_drug,MED-RT
C0000608,RO,A30275399,therapeutic_class_of,MED-RT
C0000618,RO,A28935811,therapeutic_class_of,MED-RT
C0000618,RO,A0051521,has_contraindicated_drug,MED-RT
C0000618,RO,A0080699,has_contraindicated_drug,MED-RT
C0000618,RO,A0091971,has_contraindicated_drug,MED-RT
C0000618,RO,A0104436,has_contraindicated_drug,MED-RT
C0000618,RO,A0125740,has_contraindicated_drug,MED-RT
C0000618,RO,A16485974,contraindicated_class_of,MED-RT
C0000727,RO,A31755636,contraindicated_with_disease,MED-RT
C0000727,RO,A31712444,contraindicated_with_disease,MED-RT
C0000727,RO,A31679844,contraindicated_with_disease,MED-RT
C0000727,RO,A10408586,contraindicated_with_disease,MED-RT
C0000737,RO,A10337465,contraindicated_with_disease,MED-RT
C0000737,RO,A31643063,contraindicated_with_disease,MED-RT
C0000737,RO,A31730809,contraindicated_with_disease,MED-RT
C0000737,RO,A16795576,contraindicated_with_disease,MED-RT
C0000737,RO,A16789376,may_treat,MED-RT
C0000737,RO,A10338551,may_treat,MED-RT
C0000737,RO,A31678588,contraindicated_with_disease,MED-RT
C0000737,RO,A29476160,may_treat,MED-RT
C0000737,RO,A31703181,contraindicated_with_disease,MED-RT
C0000737,RO,A29475178,may_treat,MED-RT
C0000768,RO,A31659908,contraindicated_with_disease,MED-RT
C0000768,RO,A31705630,may_treat,MED-RT
C0000771,RO,A31751720,may_treat,MED-RT
C0000771,RO,A31701015,may_treat,MED-RT
C0000771,RO,A31737617,may_treat,MED-RT
C0000771,RO,A31639774,may_treat,MED-RT
C0000771,RO,A31709307,may_treat,MED-RT
C0000771,RO,A31641473,may_treat,MED-RT
C0000771,RO,A10335655,may_treat,MED-RT
C0000771,RO,A32656643,may_treat,MED-RT
C0000771,RO,A31712769,may_treat,MED-RT
C0000771,RO,A31660573,may_treat,MED-RT
C0000771,RO,A31696013,may_treat,MED-RT
C0000771,RO,A31696034,may_treat,MED-RT
C0000771,RO,A31731902,may_treat,MED-RT
C0000771,RO,A31749285,may_treat,MED-RT
C0000771,RO,A31681466,may_treat,MED-RT
C0000771,RO,A31717162,may_treat,MED-RT
C0000771,RO,A16788054,may_treat,MED-RT
C0000771,RO,A31704546,may_treat,MED-RT
C0000771,RO,A16790596,may_treat,MED-RT
C0000771,RO,A31521277,may_treat,MED-RT
C0000771,RO,A31745760,may_treat,MED-RT
