cui1,rel,cui2_raw,cui2_resolved,rela,sab,cui2_name
C0000294,RO,A0051521,C0013182,has_contraindicated_drug,MED-RT,Drug Hypersensitivity
C0000294,RO,A30275371,C4722030,therapeutic_class_of,MED-RT,Genitourinary Agents
C0000378,RO,A28936841,C0007680,therapeutic_class_of,MED-RT,Central Nervous System Agent
C0000378,RO,A0051521,C0013182,has_contraindicated_drug,MED-RT,Drug Hypersensitivity
C0000392,RO,A0051521,C0013182,has_contraindicated_drug,MED-RT,Drug Hypersensitivity
C0000392,RO,A30275370,C4722078,therapeutic_class_of,MED-RT,Therapeutic Nutrients/Minerals/Electrolytes
C0000473,RO,A31715734,C0038689,contraindicated_class_of,MED-RT,sulfamethoxazole
C0000473,RO,A31646173,C0038745,contraindicated_class_of,MED-RT,sulfisoxazole
C0000473,RO,A31680777,C0038746,contraindicated_class_of,MED-RT,sulfisoxazole diolamine
C0000473,RO,A16793083,C0081437,contraindicated_class_of,MED-RT,acetyl sulfisoxazole
C0000473,RO,A0051521,C0013182,has_contraindicated_drug,MED-RT,Drug Hypersensitivity
C0000473,RO,A30275428,C4722090,therapeutic_class_of,MED-RT,Dermatological Agents
C0000477,RO,A28936841,C0007680,therapeutic_class_of,MED-RT,Central Nervous System Agent
C0000477,RO,A0051521,C0013182,has_contraindicated_drug,MED-RT,Drug Hypersensitivity
C0000477,RO,A0115076,C0036572,has_contraindicated_drug,MED-RT,Seizures
C0000477,RO,A8395893,C1565489,has_contraindicated_drug,MED-RT,Renal Insufficiency
C0000503,RO,A0021327,C0001948,has_contraindicated_class,MED-RT,Alcohol Drinking
C0000503,RO,A0029159,C0004745,has_contraindicated_class,MED-RT,Barbiturates
C0000503,RO,A28936841,C0007680,therapeutic_class_of,MED-RT,Central Nervous System Agent
C0000503,RO,A18452129,C0268631,has_contraindicated_drug,MED-RT,succinic semialdehyde dehydrogenase deficiency
C0000598,RO,A0031546,C0005779,has_contraindicated_drug,MED-RT,Blood Coagulation Disorders
C0000598,RO,A0051521,C0013182,has_contraindicated_drug,MED-RT,Drug Hypersensitivity
C0000598,RO,A0067245,C0019080,has_contraindicated_drug,MED-RT,Hemorrhage
C0000598,RO,A0080699,C0023895,has_contraindicated_drug,MED-RT,Liver Diseases
C0000598,RO,A30275399,C4722027,therapeutic_class_of,MED-RT,Blood Products/Modifiers/Volume Expanders
C0000608,RO,A0050422,C0012739,has_contraindicated_drug,MED-RT,Disseminated Intravascular Coagulation
C0000608,RO,A30275399,C4722027,therapeutic_class_of,MED-RT,Blood Products/Modifiers/Volume Expanders
C0000618,RO,A28935811,C0003392,therapeutic_class_of,MED-RT,Antineoplastic Agent
C0000618,RO,A0051521,C0013182,has_contraindicated_drug,MED-RT,Drug Hypersensitivity
C0000618,RO,A0080699,C0023895,has_contraindicated_drug,MED-RT,Liver Diseases
C0000618,RO,A0091971,C0027947,has_contraindicated_drug,MED-RT,Neutropenia
C0000618,RO,A0104436,C0032961,has_contraindicated_drug,MED-RT,Pregnancy
C0000618,RO,A0125740,C0040034,has_contraindicated_drug,MED-RT,Thrombocytopenia
C0000618,RO,A16485974,C0249529,contraindicated_class_of,MED-RT,febuxostat
C0000727,RO,A31755636,C0005632,contraindicated_with_disease,MED-RT,bisacodyl
C0000727,RO,A31712444,C0205705,contraindicated_with_disease,MED-RT,casanthranol
C0000727,RO,A31679844,C0304554,contraindicated_with_disease,MED-RT,aloe extract
C0000727,RO,A10408586,C0995182,contraindicated_with_disease,MED-RT,Aloe vera preparation
C0000737,RO,A10337465,C0126774,contraindicated_with_disease,MED-RT,magnesium citrate
C0000737,RO,A31643063,C0243237,contraindicated_with_disease,MED-RT,docusate sodium
C0000737,RO,A31730809,C0282140,contraindicated_with_disease,MED-RT,docusate calcium
C0000737,RO,A16795576,C0282141,contraindicated_with_disease,MED-RT,docusate potassium
C0000737,RO,A16789376,C0291771,may_treat,MED-RT,alosetron hydrochloride
C0000737,RO,A10338551,C0291772,may_treat,MED-RT,alosetron
C0000737,RO,A31678588,C1692318,contraindicated_with_disease,MED-RT,docusate
C0000737,RO,A29476160,C2714632,may_treat,MED-RT,elagolix
C0000737,RO,A31703181,C3818726,contraindicated_with_disease,MED-RT,di-n-octyl sodium sulfosuccinate
C0000737,RO,A29475178,C4704592,may_treat,MED-RT,elagolix sodium
C0000768,RO,A31659908,C0002335,contraindicated_with_disease,MED-RT,alprostadil
C0000768,RO,A31705630,C0718043,may_treat,MED-RT,sacrosidase
C0000771,RO,A31751720,C0003830,may_treat,MED-RT,trihexyphenidyl hydrochloride
C0000771,RO,A31701015,C0004261,may_treat,MED-RT,hyoscyamine sulfate
C0000771,RO,A31737617,C0005098,may_treat,MED-RT,benztropine
C0000771,RO,A31639774,C0013615,may_treat,MED-RT,edrophonium
C0000771,RO,A31709307,C0013617,may_treat,MED-RT,edrophonium chloride
C0000771,RO,A31641473,C0017970,may_treat,MED-RT,glycopyrrolate
