CUI1,CUI2,RELA,SAB
C0000294,C0010692,may_prevent,MED-RT
C0000294,C0010692,may_treat,MED-RT
C0000378,C0020651,may_treat,MED-RT
C0000473,C0038814,may_prevent,MED-RT
C0000477,C0026769,may_treat,MED-RT
C0000598,C0005779,contraindicated_with_disease,MED-RT
C0000598,C0023895,contraindicated_with_disease,MED-RT
C0000598,C0038454,may_prevent,MED-RT
C0000618,C0023895,contraindicated_with_disease,MED-RT
C0000618,C0027947,contraindicated_with_disease,MED-RT
C0000618,C0040034,contraindicated_with_disease,MED-RT
C0000946,C0002962,may_treat,MED-RT
C0000946,C0018801,contraindicated_with_disease,MED-RT
C0000946,C0020649,contraindicated_with_disease,MED-RT
C0000946,C0034063,contraindicated_with_disease,MED-RT
C0000946,C0036980,contraindicated_with_disease,MED-RT
C0000946,C0042510,may_treat,MED-RT
C0000946,C0042514,may_treat,MED-RT
C0000948,C0033075,may_treat,MED-RT
C0000970,C0023895,contraindicated_with_disease,MED-RT
C0000973,C0018681,may_treat,MED-RT
C0000981,C0001122,contraindicated_with_disease,MED-RT
C0000981,C0001621,contraindicated_with_disease,MED-RT
C0000981,C0017601,may_treat,MED-RT
C0000981,C0020621,contraindicated_with_disease,MED-RT
C0000981,C0023895,contraindicated_with_disease,MED-RT
C0000983,C0005686,may_treat,MED-RT
C0000983,C0029878,may_treat,MED-RT
C0000983,C0206504,contraindicated_with_disease,MED-RT
C0001041,C0018681,may_treat,MED-RT
C0001047,C0002726,may_treat,MED-RT
C0001047,C0010674,may_treat,MED-RT
C0001047,C0034067,may_treat,MED-RT
C0001134,C0011334,may_prevent,MED-RT
C0001268,C0014836,may_treat,MED-RT
C0001268,C0018081,may_treat,MED-RT
C0001275,C0011991,may_treat,MED-RT
C0001275,C0016204,may_prevent,MED-RT
C0001275,C0016204,may_treat,MED-RT
C0001275,C0041948,may_treat,MED-RT
C0001367,C0008049,may_prevent,MED-RT
C0001367,C0008049,may_treat,MED-RT
C0001367,C0010823,may_prevent,MED-RT
C0001367,C0019348,may_prevent,MED-RT
C0001367,C0019348,may_treat,MED-RT
C0001367,C0019360,may_prevent,MED-RT
C0001367,C0019360,may_treat,MED-RT
C0001367,C0019364,may_treat,MED-RT
C0001443,C0039236,may_treat,MED-RT
C0001443,C0042514,contraindicated_with_disease,MED-RT
C0001465,C0039236,may_treat,MED-RT
C0001465,C0042514,contraindicated_with_disease,MED-RT
C0001480,C0039236,may_treat,MED-RT
C0001480,C0042514,contraindicated_with_disease,MED-RT
C0001636,C0003811,contraindicated_with_disease,MED-RT
C0001636,C0017612,may_treat,MED-RT
C0001636,C0018790,may_treat,MED-RT
C0001636,C0020649,may_treat,MED-RT
C0001636,C0042510,may_treat,MED-RT
C0001636,C0042514,may_treat,MED-RT
C0001655,C0008049,contraindicated_with_disease,MED-RT
C0001655,C0014742,may_treat,MED-RT
C0001655,C0018801,contraindicated_with_disease,MED-RT
C0001655,C0019360,contraindicated_with_disease,MED-RT
C0001655,C0026769,may_treat,MED-RT
C0001655,C0026946,contraindicated_with_disease,MED-RT
C0001655,C0029134,may_treat,MED-RT
C0001655,C0030920,contraindicated_with_disease,MED-RT
C0001655,C0035435,may_treat,MED-RT
C0001655,C0036202,may_treat,MED-RT
C0001655,C0042164,may_treat,MED-RT
C0001714,C0004610,may_treat,MED-RT
C0001714,C0004623,may_prevent,MED-RT
C0001714,C0004623,may_treat,MED-RT
C0001714,C0005686,may_treat,MED-RT
C0001714,C0014836,may_treat,MED-RT
C0001714,C0029878,may_treat,MED-RT
C0001898,C0220994,contraindicated_with_disease,MED-RT
C0001911,C0013502,may_treat,MED-RT
C0001911,C0017536,may_treat,MED-RT
C0001911,C0018889,may_prevent,MED-RT
C0001911,C0018889,may_treat,MED-RT
C0001911,C0040553,may_treat,MED-RT
C0001911,C0086227,may_treat,MED-RT
C0002083,C0037268,may_treat,MED-RT
C0002144,C0018099,may_prevent,MED-RT
C0002144,C0018099,may_treat,MED-RT
C0002260,C0020555,may_treat,MED-RT
C0002260,C0033740,may_prevent,MED-RT
C0002260,C0033740,may_treat,MED-RT
C0002260,C0041228,may_treat,MED-RT
C0002333,C0001818,may_treat,MED-RT
C0002334,C0003811,may_treat,MED-RT
C0002335,C0000768,contraindicated_with_disease,MED-RT
C0002335,C0002895,contraindicated_with_disease,MED-RT
C0002335,C0023418,contraindicated_with_disease,MED-RT
C0002335,C0026764,contraindicated_with_disease,MED-RT
C0002335,C0030846,contraindicated_with_disease,MED-RT
C0002335,C0031190,contraindicated_with_disease,MED-RT
C0002335,C0152101,may_treat,MED-RT
C0002371,C0017168,may_treat,MED-RT
C0002371,C0018834,may_treat,MED-RT
C0002372,C0017168,may_treat,MED-RT
C0002372,C0018834,may_treat,MED-RT
C0002403,C0030569,may_treat,MED-RT
C0002404,C0030569,may_treat,MED-RT
C0002412,C0026896,may_treat,MED-RT
C0002413,C0026896,may_treat,MED-RT
C0002435,C0004623,may_prevent,MED-RT
C0002435,C0004623,may_treat,MED-RT
C0002435,C0014836,may_treat,MED-RT
C0002435,C0041471,may_treat,MED-RT
C0002435,C0042029,may_treat,MED-RT
C0002475,C0005779,contraindicated_with_disease,MED-RT
C0002475,C0019087,contraindicated_with_disease,MED-RT
C0002475,C0027947,contraindicated_with_disease,MED-RT
C0002475,C0040034,contraindicated_with_disease,MED-RT
C0002499,C0004623,may_prevent,MED-RT
C0002499,C0004623,may_treat,MED-RT
C0002499,C0014836,may_treat,MED-RT
C0002499,C0042029,may_treat,MED-RT
C0002501,C0004623,may_prevent,MED-RT
C0002501,C0004623,may_treat,MED-RT
C0002501,C0014836,may_treat,MED-RT
C0002501,C0042029,may_treat,MED-RT
C0002502,C0010674,may_treat,MED-RT
C0002502,C0018801,may_treat,MED-RT
C0002502,C0020621,may_prevent,MED-RT
C0002502,C0020621,may_treat,MED-RT
C0002502,C0032617,may_treat,MED-RT
