CUI1,CUI2,RELA,SAB,CUI1_name,CUI2_name
C0000294,C0010692,may_prevent,MED-RT,mesna,Cystitis
C0000294,C0010692,may_treat,MED-RT,mesna,Cystitis
C0000378,C0020651,may_treat,MED-RT,droxidopa,"Hypotension, Orthostatic"
C0000473,C0038814,may_prevent,MED-RT,4-aminobenzoic acid,Sunburn
C0000477,C0026769,may_treat,MED-RT,dalfampridine,Multiple Sclerosis
C0000598,C0005779,contraindicated_with_disease,MED-RT,ticlopidine hydrochloride,Blood Coagulation Disorders
C0000598,C0023895,contraindicated_with_disease,MED-RT,ticlopidine hydrochloride,Liver diseases
C0000598,C0038454,may_prevent,MED-RT,ticlopidine hydrochloride,Cerebrovascular accident
C0000618,C0023895,contraindicated_with_disease,MED-RT,mercaptopurine,Liver diseases
C0000618,C0027947,contraindicated_with_disease,MED-RT,mercaptopurine,Neutropenia
C0000618,C0040034,contraindicated_with_disease,MED-RT,mercaptopurine,Thrombocytopenia
C0000946,C0002962,may_treat,MED-RT,acebutolol,Angina Pectoris
C0000946,C0018801,contraindicated_with_disease,MED-RT,acebutolol,Heart failure
C0000946,C0020649,contraindicated_with_disease,MED-RT,acebutolol,Hypotension
C0000946,C0034063,contraindicated_with_disease,MED-RT,acebutolol,Pulmonary Edema
C0000946,C0036980,contraindicated_with_disease,MED-RT,acebutolol,"Shock, Cardiogenic"
C0000946,C0042510,may_treat,MED-RT,acebutolol,Ventricular Fibrillation
C0000946,C0042514,may_treat,MED-RT,acebutolol,"Tachycardia, Ventricular"
C0000948,C0033075,may_treat,MED-RT,aceclidine,Presbyopia
C0000970,C0023895,contraindicated_with_disease,MED-RT,acetaminophen,Liver diseases
C0000973,C0018681,may_treat,MED-RT,acetanilide,Headache
C0000981,C0001122,contraindicated_with_disease,MED-RT,acetazolamide,Acidosis
C0000981,C0001621,contraindicated_with_disease,MED-RT,acetazolamide,Adrenal Gland Diseases
C0000981,C0017601,may_treat,MED-RT,acetazolamide,Glaucoma
C0000981,C0020621,contraindicated_with_disease,MED-RT,acetazolamide,Hypokalemia
C0000981,C0023895,contraindicated_with_disease,MED-RT,acetazolamide,Liver diseases
C0000983,C0005686,may_treat,MED-RT,acetic acid,Urinary Bladder Diseases
C0000983,C0029878,may_treat,MED-RT,acetic acid,Otitis Externa
C0000983,C0206504,contraindicated_with_disease,MED-RT,acetic acid,Tympanic Membrane Perforation
C0001041,C0018681,may_treat,MED-RT,acetylcholine,Headache
C0001047,C0002726,may_treat,MED-RT,acetylcysteine,Amyloidosis
C0001047,C0010674,may_treat,MED-RT,acetylcysteine,Cystic Fibrosis
C0001047,C0034067,may_treat,MED-RT,acetylcysteine,Pulmonary Emphysema
C0001134,C0011334,may_prevent,MED-RT,acidulated phosphate fluoride,Dental caries
C0001268,C0014836,may_treat,MED-RT,spectinomycin,Escherichia coli Infections
C0001268,C0018081,may_treat,MED-RT,spectinomycin,Gonorrhea
C0001275,C0011991,may_treat,MED-RT,activated charcoal,Diarrhea
C0001275,C0016204,may_prevent,MED-RT,activated charcoal,Flatulence
C0001275,C0016204,may_treat,MED-RT,activated charcoal,Flatulence
C0001275,C0041948,may_treat,MED-RT,activated charcoal,Uremia
C0001367,C0008049,may_prevent,MED-RT,acyclovir,Chickenpox
C0001367,C0008049,may_treat,MED-RT,acyclovir,Chickenpox
C0001367,C0010823,may_prevent,MED-RT,acyclovir,Cytomegalovirus Infections
C0001367,C0019348,may_prevent,MED-RT,acyclovir,Herpes simplex infection
C0001367,C0019348,may_treat,MED-RT,acyclovir,Herpes simplex infection
C0001367,C0019360,may_prevent,MED-RT,acyclovir,Herpes zoster (disorder)
C0001367,C0019360,may_treat,MED-RT,acyclovir,Herpes zoster (disorder)
C0001367,C0019364,may_treat,MED-RT,acyclovir,Herpes Zoster Ophthalmicus
C0001443,C0039236,may_treat,MED-RT,adenosine,"Tachycardia, Paroxysmal"
C0001443,C0042514,contraindicated_with_disease,MED-RT,adenosine,"Tachycardia, Ventricular"
C0001465,C0039236,may_treat,MED-RT,adenosine monophosphate,"Tachycardia, Paroxysmal"
C0001465,C0042514,contraindicated_with_disease,MED-RT,adenosine monophosphate,"Tachycardia, Ventricular"
C0001480,C0039236,may_treat,MED-RT,adenosine triphosphate,"Tachycardia, Paroxysmal"
C0001480,C0042514,contraindicated_with_disease,MED-RT,adenosine triphosphate,"Tachycardia, Ventricular"
C0001636,C0003811,contraindicated_with_disease,MED-RT,epinephrine hydrochloride,Cardiac Arrhythmia
C0001636,C0017612,may_treat,MED-RT,epinephrine hydrochloride,"Glaucoma, Open-Angle"
C0001636,C0018790,may_treat,MED-RT,epinephrine hydrochloride,Cardiac Arrest
C0001636,C0020649,may_treat,MED-RT,epinephrine hydrochloride,Hypotension
C0001636,C0042510,may_treat,MED-RT,epinephrine hydrochloride,Ventricular Fibrillation
C0001636,C0042514,may_treat,MED-RT,epinephrine hydrochloride,"Tachycardia, Ventricular"
C0001655,C0008049,contraindicated_with_disease,MED-RT,corticotropin,Chickenpox
C0001655,C0014742,may_treat,MED-RT,corticotropin,Erythema Multiforme
C0001655,C0018801,contraindicated_with_disease,MED-RT,corticotropin,Heart failure
C0001655,C0019360,contraindicated_with_disease,MED-RT,corticotropin,Herpes zoster (disorder)
C0001655,C0026769,may_treat,MED-RT,corticotropin,Multiple Sclerosis
C0001655,C0026946,contraindicated_with_disease,MED-RT,corticotropin,Mycoses
C0001655,C0029134,may_treat,MED-RT,corticotropin,Optic Neuritis
C0001655,C0030920,contraindicated_with_disease,MED-RT,corticotropin,Peptic Ulcer
C0001655,C0035435,may_treat,MED-RT,corticotropin,Rheumatism
C0001655,C0036202,may_treat,MED-RT,corticotropin,Sarcoidosis
C0001655,C0042164,may_treat,MED-RT,corticotropin,Uveitis
C0001714,C0004610,may_treat,MED-RT,polymyxin B sulfate,Bacteremia
C0001714,C0004623,may_prevent,MED-RT,polymyxin B sulfate,Bacterial Infections
C0001714,C0004623,may_treat,MED-RT,polymyxin B sulfate,Bacterial Infections
C0001714,C0005686,may_treat,MED-RT,polymyxin B sulfate,Urinary Bladder Diseases
C0001714,C0014836,may_treat,MED-RT,polymyxin B sulfate,Escherichia coli Infections
C0001714,C0029878,may_treat,MED-RT,polymyxin B sulfate,Otitis Externa
C0001898,C0220994,contraindicated_with_disease,MED-RT,alanine,Hyperammonemia (disorder)
C0001911,C0013502,may_treat,MED-RT,albendazole,Echinococcosis
C0001911,C0017536,may_treat,MED-RT,albendazole,Giardiasis
C0001911,C0018889,may_prevent,MED-RT,albendazole,Helminthiasis
C0001911,C0018889,may_treat,MED-RT,albendazole,Helminthiasis
C0001911,C0040553,may_treat,MED-RT,albendazole,Toxocariasis
C0001911,C0086227,may_treat,MED-RT,albendazole,Enterobiasis
C0002083,C0037268,may_treat,MED-RT,allantoin,Congenital anomaly of skin
C0002144,C0018099,may_prevent,MED-RT,allopurinol,Gout
C0002144,C0018099,may_treat,MED-RT,allopurinol,Gout
C0002260,C0020555,may_treat,MED-RT,eflornithine,Hypertrichosis
C0002260,C0033740,may_prevent,MED-RT,eflornithine,Protozoan Infections
C0002260,C0033740,may_treat,MED-RT,eflornithine,Protozoan Infections
C0002260,C0041228,may_treat,MED-RT,eflornithine,African Trypanosomiasis
C0002333,C0001818,may_treat,MED-RT,alprazolam,Agoraphobia
C0002334,C0003811,may_treat,MED-RT,alprenolol,Cardiac Arrhythmia
C0002335,C0000768,contraindicated_with_disease,MED-RT,alprostadil,Congenital Abnormality
C0002335,C0002895,contraindicated_with_disease,MED-RT,alprostadil,"Anemia, Sickle Cell"
C0002335,C0023418,contraindicated_with_disease,MED-RT,alprostadil,leukemia
C0002335,C0026764,contraindicated_with_disease,MED-RT,alprostadil,Multiple Myeloma
C0002335,C0030846,contraindicated_with_disease,MED-RT,alprostadil,Penile Diseases
C0002335,C0031190,contraindicated_with_disease,MED-RT,alprostadil,Persistent Fetal Circulation Syndrome
C0002335,C0152101,may_treat,MED-RT,alprostadil,Hypoplastic Left Heart Syndrome
C0002371,C0017168,may_treat,MED-RT,aluminum hydroxide,Gastroesophageal reflux disease
C0002371,C0018834,may_treat,MED-RT,aluminum hydroxide,Heartburn
C0002372,C0017168,may_treat,MED-RT,aluminum hydroxide gel,Gastroesophageal reflux disease
C0002372,C0018834,may_treat,MED-RT,aluminum hydroxide gel,Heartburn
C0002403,C0030569,may_treat,MED-RT,amantadine,Secondary Parkinson Disease
C0002404,C0030569,may_treat,MED-RT,amantadine sulfate,Secondary Parkinson Disease
C0002412,C0026896,may_treat,MED-RT,ambenonium,Myasthenia Gravis
C0002413,C0026896,may_treat,MED-RT,ambenonium chloride,Myasthenia Gravis
C0002435,C0004623,may_prevent,MED-RT,amdinocillin,Bacterial Infections
C0002435,C0004623,may_treat,MED-RT,amdinocillin,Bacterial Infections
C0002435,C0014836,may_treat,MED-RT,amdinocillin,Escherichia coli Infections
C0002435,C0041471,may_treat,MED-RT,amdinocillin,TYPHUS
C0002435,C0042029,may_treat,MED-RT,amdinocillin,Urinary tract infection
C0002475,C0005779,contraindicated_with_disease,MED-RT,mitomycin,Blood Coagulation Disorders
C0002475,C0019087,contraindicated_with_disease,MED-RT,mitomycin,Hemorrhagic Disorders
C0002475,C0027947,contraindicated_with_disease,MED-RT,mitomycin,Neutropenia
C0002475,C0040034,contraindicated_with_disease,MED-RT,mitomycin,Thrombocytopenia
C0002499,C0004623,may_prevent,MED-RT,amikacin,Bacterial Infections
C0002499,C0004623,may_treat,MED-RT,amikacin,Bacterial Infections
C0002499,C0014836,may_treat,MED-RT,amikacin,Escherichia coli Infections
C0002499,C0042029,may_treat,MED-RT,amikacin,Urinary tract infection
C0002501,C0004623,may_prevent,MED-RT,amikacin sulfate,Bacterial Infections
C0002501,C0004623,may_treat,MED-RT,amikacin sulfate,Bacterial Infections
C0002501,C0014836,may_treat,MED-RT,amikacin sulfate,Escherichia coli Infections
C0002501,C0042029,may_treat,MED-RT,amikacin sulfate,Urinary tract infection
C0002502,C0010674,may_treat,MED-RT,amiloride,Cystic Fibrosis
C0002502,C0018801,may_treat,MED-RT,amiloride,Heart failure
C0002502,C0020621,may_prevent,MED-RT,amiloride,Hypokalemia
C0002502,C0020621,may_treat,MED-RT,amiloride,Hypokalemia
C0002502,C0032617,may_treat,MED-RT,amiloride,Polyuria
C0002555,C0010481,may_treat,MED-RT,aminoglutethimide,Cushing Syndrome
C0002563,C0022602,may_treat,MED-RT,aminolevulinic acid,Actinic keratosis
C0002575,C0003811,contraindicated_with_disease,MED-RT,aminophylline,Cardiac Arrhythmia
C0002575,C0030920,contraindicated_with_disease,MED-RT,aminophylline,Peptic Ulcer
C0002575,C0034067,may_treat,MED-RT,aminophylline,Pulmonary Emphysema
C0002598,C0003811,may_prevent,MED-RT,amiodarone,Cardiac Arrhythmia
C0002598,C0003811,may_treat,MED-RT,amiodarone,Cardiac Arrhythmia
