rela,sab,count
has_inactive_ingredient,MTHSPL,1640641
inactive_ingredient_of,MTHSPL,1640641
inverse_isa,SNOMEDCT_US,1251130
isa,SNOMEDCT_US,1251130
inverse_isa,SCTSPA,1209320
isa,SCTSPA,1209320
inverse_isa,MEDCIN,712790
isa,MEDCIN,712790
mapped_to,MSH,436613
mapped_from,MSH,436613
subset_includes_concept,NCI,415474
concept_in_subset,NCI,415474
has_finding_site,SNOMEDCT_US,412235
finding_site_of,SNOMEDCT_US,412235
has_finding_site,SCTSPA,399559
finding_site_of,SCTSPA,399559
has_component,LNC,330951
component_of,LNC,330951
associated_morphology_of,SNOMEDCT_US,311251
has_associated_morphology,SNOMEDCT_US,311251
associated_morphology_of,SCTSPA,302887
has_associated_morphology,SCTSPA,302887
method_of,SNOMEDCT_US,302779
has_method,SNOMEDCT_US,302779
method_of,SCTSPA,301033
has_method,SCTSPA,301033
has_class,LNC,284774
class_of,LNC,284774
has_active_ingredient,MTHSPL,263625
active_ingredient_of,MTHSPL,263625
has_active_moiety,MTHSPL,262970
active_moiety_of,MTHSPL,262970
inverse_isa,RXNORM,238329
isa,RXNORM,238329
inverse_isa,NCI,234295
isa,NCI,234295
translation_of,MDRJPN,231383
has_translation,MDRJPN,231383
has_system,LNC,183921
system_of,LNC,183921
mapped_to,ICPC2ICD10ENG,168361
mapped_from,ICPC2ICD10ENG,168361
expanded_form_of,ICD10PCS,160058
has_expanded_form,ICD10PCS,160058
has_ingredient,RXNORM,158178
ingredient_of,RXNORM,158178
same_as,MEDCIN,155454
mapped_to,SNOMEDCT_US,154997
mapped_from,SNOMEDCT_US,154997
has_manifestation,OMIM,144790
manifestation_of,OMIM,144790
permuted_term_of,MSH,132119
has_permuted_term,MSH,132119
has_procedure_site,SNOMEDCT_US,130721
procedure_site_of,SNOMEDCT_US,130721
has_procedure_site,SCTSPA,130639
procedure_site_of,SCTSPA,130639
has_ingredient,MMSL,127527
ingredient_of,MMSL,127527
possibly_equivalent_to,SNOMEDCT_US,126984
inverse_isa,UWDA,124564
isa,UWDA,124564
has_finding_site,MEDCIN,122273
finding_site_of,MEDCIN,122273
translation_of,MDRITA,119994
translation_of,MDRCZE,119994
translation_of,MDRHUN,119994
translation_of,MDRGER,119994
translation_of,MDRRUS,119994
translation_of,MDRKOR,119994
translation_of,MDRBPO,119994
translation_of,MDRSWE,119994
translation_of,MDRLAV,119994
translation_of,MDRGRE,119994
translation_of,MDRPOL,119994
translation_of,MDRARA,119994
translation_of,MDREST,119994
translation_of,MDRFIN,119994
translation_of,MDRLIT,119994
translation_of,MDRHRV,119994
translation_of,MDRISL,119994
translation_of,MDRSLK,119994
translation_of,MDRNOR,119994
translation_of,MDRSLV,119994
translation_of,MDRPOR,119994
translation_of,MDRSPA,119994
translation_of,MDRDUT,119994
translation_of,MDRFRE,119994
has_translation,MDRITA,119994
has_translation,MDRCZE,119994
has_translation,MDRHUN,119994
has_translation,MDRSPA,119994
has_translation,MDRDUT,119994
has_translation,MDRGER,119994
has_translation,MDRFRE,119994
has_translation,MDRPOR,119994
has_translation,MDRRUS,119994
has_translation,MDRKOR,119994
has_translation,MDRBPO,119994
has_translation,MDRSWE,119994
has_translation,MDRLAV,119994
has_translation,MDRGRE,119994
has_translation,MDRPOL,119994
has_translation,MDRARA,119994
has_translation,MDREST,119994
has_translation,MDRFIN,119994
has_translation,MDRLIT,119994
has_translation,MDRHRV,119994
has_translation,MDRISL,119994
has_translation,MDRNOR,119994
has_translation,MDRSLK,119994
has_translation,MDRSLV,119994
mth_expanded_form_of,LNC,119376
mth_has_expanded_form,LNC,119376
has_tradename,RXNORM,117949
tradename_of,RXNORM,117949
constitutes,RXNORM,116206
consists_of,RXNORM,116206
same_as,SNOMEDCT_US,114584
has_answer,LNC,114448
answer_to,LNC,114448
time_aspect_of,LNC,109561
has_time_aspect,LNC,109561
has_property,LNC,109325
has_common_name,LNC,109325
common_name_of,LNC,109325
property_of,LNC,109325
scale_of,LNC,109325
has_scale,LNC,109325
is_interpreted_by,SNOMEDCT_US,104490
interprets,SNOMEDCT_US,104490
isa,FMA,104341
inverse_isa,FMA,104341
is_interpreted_by,SCTSPA,102929
interprets,SCTSPA,102929
laterality_of,MEDCIN,98669
has_laterality,MEDCIN,98669
has_expanded_form,ICD10CM,98186
expanded_form_of,ICD10CM,98186
has_direct_procedure_site,SNOMEDCT_US,98111
direct_procedure_site_of,SNOMEDCT_US,98111
has_direct_procedure_site,SCTSPA,97957
direct_procedure_site_of,SCTSPA,97957
has_member,MDR,97480
has_member,MDRITA,97480
has_member,MDRCZE,97480
has_member,MDRHUN,97480
has_member,MDRSPA,97480
has_member,MDRDUT,97480
has_member,MDRGER,97480
has_member,MDRFRE,97480
has_member,MDRPOR,97480
has_member,MDRRUS,97480
has_member,MDRKOR,97480
has_member,MDRBPO,97480
has_member,MDRSWE,97480
has_member,MDRLAV,97480
has_member,MDRGRE,97480
has_member,MDRPOL,97480
has_member,MDRARA,97480
has_member,MDREST,97480
has_member,MDRFIN,97480
has_member,MDRLIT,97480
has_member,MDRHRV,97480
has_member,MDRISL,97480
has_member,MDRNOR,97480
has_member,MDRSLK,97480
has_member,MDRSLV,97480
member_of,MDR,97480
member_of,MDRFRE,97480
member_of,MDRGER,97480
member_of,MDRITA,97480
member_of,MDRPOR,97480
member_of,MDRCZE,97480
member_of,MDRHUN,97480
member_of,MDRSPA,97480
member_of,MDRDUT,97480
member_of,MDRRUS,97480
member_of,MDRKOR,97480
member_of,MDRBPO,97480
member_of,MDRLAV,97480
member_of,MDRSWE,97480
member_of,MDRGRE,97480
member_of,MDRPOL,97480
member_of,MDRARA,97480
member_of,MDREST,97480
member_of,MDRFIN,97480
member_of,MDRLIT,97480
member_of,MDRHRV,97480
member_of,MDRISL,97480
member_of,MDRNOR,97480
member_of,MDRSLK,97480
member_of,MDRSLV,97480
has_expanded_form,LNC,96262
expanded_form_of,LNC,96262
measures,LNC,95496
measured_by,LNC,95496
has_dose_form,RXNORM,95303
dose_form_of,RXNORM,95303
has_causative_agent,SNOMEDCT_US,92415
causative_agent_of,SNOMEDCT_US,92415
has_causative_agent,SCTSPA,91745
causative_agent_of,SCTSPA,91745
classified_as,MDR,90471
classified_as,MDRITA,90471
classified_as,MDRCZE,90471
classified_as,MDRHUN,90471
classifies,MDR,90471
classifies,MDRSPA,90471
classifies,MDRHUN,90471
classifies,MDRDUT,90471
classifies,MDRGER,90471
classifies,MDRITA,90471
classifies,MDRFRE,90471
classifies,MDRCZE,90471
classifies,MDRPOR,90471
classified_as,MDRGER,90471
classifies,MDRRUS,90471
classifies,MDRKOR,90471
classified_as,MDRRUS,90471
classified_as,MDRKOR,90471
classified_as,MDRBPO,90471
classifies,MDRBPO,90471
classifies,MDRSWE,90471
classified_as,MDRSWE,90471
classifies,MDRLAV,90471
classified_as,MDRLAV,90471
classified_as,MDRGRE,90471
classifies,MDRGRE,90471
classifies,MDRPOL,90471
classified_as,MDRPOL,90471
classifies,MDRARA,90471
classified_as,MDRARA,90471
classifies,MDREST,90471
classified_as,MDREST,90471
classifies,MDRFIN,90471
classified_as,MDRFIN,90471
classified_as,MDRLIT,90471
classifies,MDRHRV,90471
classifies,MDRLIT,90471
classified_as,MDRHRV,90471
classified_as,MDRISL,90471
classifies,MDRISL,90471
classifies,MDRNOR,90471
classified_as,MDRSLK,90471
classifies,MDRSLK,90471
classified_as,MDRNOR,90471
classified_as,MDRSLV,90471
classifies,MDRSLV,90471
classified_as,MDRPOR,90471
classified_as,MDRSPA,90471
classified_as,MDRDUT,90471
classified_as,MDRFRE,90471
has_member,MDRJPN,89584
member_of,MDRJPN,89584
classifies,CCSR_ICD10CM,86910
classified_as,CCSR_ICD10CM,86910
analyzes,LNC,86907
analyzed_by,LNC,86907
has_method,LNC,83127
method_of,LNC,83127
associated_with,SNMI,82408
classified_as,CCSR_ICD10PCS,79115
classifies,CCSR_ICD10PCS,79115
translation_of,ICPC2ICD10ENG,76604
